	source	target	source_entity	target_entity	source_span	target_span	dialogue_id	turn_id	utterance_type	source_word_span
25	The Humble Administrator's Garden is at No. 178, Dongbei Street, Gusu District, Suzhou City.	졸정원은 쑤저우시 구수구 동베이가 178호에 있습니다.	"[""The Humble Administrator's Garden"", 'No. 178, Dongbei Street, Gusu District, Suzhou City.', 'Suzhou']"	['졸정원', '쑤저우시 구수구 동베이가 178호', '쑤저우']	[[0, 33], [40, 92], [80, 86]]	[[0, 3], [5, 23], [5, 8]]	attraction_restaurant_goal_2-18###5165	1	system	[[0, 4], [6, 14], [12, 13]]
26	How about its rating online?	온라인 평점은 어떻게 되나요?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	2	user	[]
27	Let me have a look. This scenic area has a rating of 4.5, for your reference.	잠시만요. 그 풍경구는 참고로 평점이 4.5점입니다.	['4.5,']	['4.5점']	[[53, 57]]	[[21, 25]]	attraction_restaurant_goal_2-18###5165	2	system	[[12, 13]]
28	Ok, we may spend the whole day together, can you recommend some a bit more expensive restaurants near here?	네, 아마 종일 같이 시간을 보낼 것 같은데, 여기 근처에 있는 조금 더 비싼 식당을 추천해 주실 수 있나요?	['a bit more expensive']	['조금 더 비싼']	[[64, 84]]	[[36, 43]]	attraction_restaurant_goal_2-18###5165	3	user	[[12, 16]]
29	Well, Banyuan Private Home Cuisine is a good choice. It is a bit more expensive and serves Jiangsu Zhejiang Cuisine with local features.	음, 반위안 개인 가정 요리는 좋은 선택입니다. 조금 더 비싸고 지역 특색이 있는 장쑤성과 저장성 요리를 제공합니다.	['Banyuan Private Home Cuisine', 'a bit more expensive', 'Jiangsu Zhejiang Cuisine']	['반위안 개인 가정 요리', '조금 더 비싸고', '장쑤성과 저장성 요리']	[[6, 34], [59, 79], [91, 115]]	[[3, 15], [27, 35], [46, 57]]	attraction_restaurant_goal_2-18###5165	3	system	[[1, 5], [11, 15], [17, 20]]
30	Ok, can you check the address and phone number of it? Is it near a subway station?	네, 그곳의 주소와 전화번호를 확인해 주실 수 있나요? 지하철 역과 가깝나요?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	4	user	[]
31	The restaurant is at No. 3, Chuanfang Alley, North of Pingjiang Road. The phone number is 139-6217-0368. There is no direct subway line to it.	식당은 핑장루 북단 추안팡 골목 3호에 있습니다. 전화번호는 139-6217-0368입니다. 그곳으로 바로 가는 지하철 노선은 없습니다.	['No. 3, Chuanfang Alley, North of Pingjiang Road.', '139-6217-0368.', 'no direct subway line to it.']	['핑장루 북단 추안팡 골목 3호', '139-6217-0368', '그곳으로 바로 가는 지하철 노선']	[[21, 69], [90, 104], [114, 142]]	[[4, 20], [34, 47], [52, 69]]	attraction_restaurant_goal_2-18###5165	4	system	[[4, 12], [16, 17], [19, 25]]
32	Well, are there any other transportation options? Can you recommend some?	음, 다른 교통수단은 없나요? 추천해 주실 수 있으신가요?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	5	user	[]
33	You can take other public transportation or drive there, both are convenient.	다른 대중교통을 이용하시거나 운전해서 가실 수 있고, 두 방법 모두 편리합니다.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	5	system	[]
34	Ok, thanks for your patient service, see you.	네, 친절한 서비스에 감사드립니다, 다음에 뵐게요.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	6	user	[]
35	You are welcome. Phone me any time you need help, goodbye.	천만에요. 언제든 도움이 필요하시면 연락주세요, 안녕히 계세요.	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	6	system	[]
36	Hello, I want to buy a gas-powered SUV, can you recommend one within 150,000 yuan?	안녕하세요, 가솔린 SUV를 사려고 하는데, 150,000위안 이하로 추천해주실 수 있나요?	['gas-powered', 'SUV,', 'within 150,000 yuan?']	['가솔린', 'SUV', '150,000위안 이하']	[[23, 34], [35, 39], [62, 82]]	[[7, 10], [11, 14], [25, 37]]	Car_goal_5-38_v2###8539	0	user	[[6, 7], [7, 8], [12, 15]]
37	Well, Volkswagen T-Cross with a 1.5 L petrol engine will suit your needs.	음, 1.5L 가솔린 엔진이 탑재된 폭스바겐 T-크로스가 잘 맞으실 겁니다.	['Volkswagen T-Cross with a 1.5 L petrol engine', 'Volkswagen T-Cross']	['1.5L 가솔린 엔진이 탑재된 폭스바겐 T-크로스', '폭스바겐 T-크로스']	[[6, 51], [6, 24]]	[[3, 30], [20, 30]]	Car_goal_5-38_v2###8539	0	system	[[1, 9], [1, 3]]
38	Does it have cruise control?	크루즈 컨트롤이 있나요?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	1	user	[]
39	Sure, it has.	물론이죠.	['Sure, it has.']	['물론이죠.']	[[0, 13]]	[[0, 5]]	Car_goal_5-38_v2###8539	1	system	[[0, 3]]
40	How about the reverse camera?	후방 카메라는 어떤가요?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	2	user	[]
41	Sorry, this model does not have this function.	죄송하지만, 이 모델에는 그 기능이 없습니다.	['does not have']	['없습니다.']	[[18, 31]]	[[20, 25]]	Car_goal_5-38_v2###8539	2	system	[[3, 6]]
42	Does it have ventilated seats?	통풍 시트가 있나요?	[]	[]	[]	[]	Car_goal_5-38_v2###8539	3	user	[]
43	Sorry, this model also does not have this function.	죄송하지만, 이 모델에는 그 기능이 없습니다.	['does not have']	['없습니다.']	[[23, 36]]	[[20, 25]]	Car_goal_5-38_v2###8539	3	system	[[4, 7]]
44	Got it. Thanks, bye.	알겠습니다. 감사합니다, 안녕히 계세요.	[]	[]	[]	[]	Car_goal_5-38_v2###8539	4	user	[]
45	My pleasure. I'm glad to be at your service, goodbye.	천만에요. 도움이 되어 기쁩니다. 안녕히 가세요.	[]	[]	[]	[]	Car_goal_5-38_v2###8539	4	system	[]
46	Hi, how's it going? My friend will come to Suzhou to visit me and I want to find a bit more expensive restaurant where I could take him. It would be nice if it is near Suzhou Industrial Park. Do you have any recommendations?	안녕하세요, 잘 지내시나요? 제 친구가 저를 보러 쑤저우로 오기로 해서 그를 데려갈 조금 더 비싼 식당을 찾고 있습니다. 쑤저우 공업원구 근처면 좋을 것 같습니다. 추천해 주실 만한 곳이 있나요?	['Suzhou', 'a bit more expensive', 'Suzhou Industrial Park.', 'Suzhou']	['쑤저우', '조금 더 비싼', '쑤저우 공업원구', '쑤저우']	[[43, 49], [81, 101], [168, 191], [168, 174]]	[[28, 31], [47, 54], [68, 76], [68, 71]]	restaurant_hotel_goal_2-63_v2###7740	0	user	[[9, 10], [18, 22], [36, 39], [9, 10]]
47	Ok, here I recommend Haidilao Hot Pot. It is a nice choice.	알겠습니다, 여기서 저는 하이디라오 훠궈를 추천합니다. 좋은 선택이에요.	['Haidilao Hot Pot.']	['하이디라오 훠궈']	[[21, 38]]	[[14, 22]]	restaurant_hotel_goal_2-63_v2###7740	0	system	[[4, 7]]
48	Good, we love hot pot. What is its phone number?	좋아요, 저희는 훠궈를 좋아합니다. 그곳의 전화번호가 어떻게 되나요?	['hot pot.']	['훠궈']	[[14, 22]]	[[9, 11]]	restaurant_hotel_goal_2-63_v2###7740	1	user	[[3, 5]]
49	It's 0512-67603337.	0512-67603337입니다.	['0512-67603337.']	['0512-67603337']	[[5, 19]]	[[0, 13]]	restaurant_hotel_goal_2-63_v2###7740	1	system	[[1, 2]]
50	Got it. Can you help me check the opening hours?	알겠습니다. 영업 시간을 확인해 주실 수 있나요?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	2	user	[]
51	No problems. It is open from Monday to Sunday, 09:00-07:00.	물론이죠. 월요일부터 일요일까지 오전 9시부터 오후 7시까지 영업합니다.	['from Monday to Sunday, 09:00-07:00.']	['월요일부터 일요일까지 오전 9시부터 오후 7시까지']	[[24, 59]]	[[6, 33]]	restaurant_hotel_goal_2-63_v2###7740	2	system	[[5, 10]]
52	Wow, it is open all night, then we can stay a bit longer. Could you find a not that expensive hotel with standard rooms?	우와, 밤새 영업하네요, 그러면 조금 더 오래 머무를 수 있겠어요. 스탠다드 객실이 있는 많이 비싸지 않은 호텔을 찾아주실 수 있으신가요?	['not that expensive', 'standard rooms?']	['많이 비싸지 않은', '스탠다드 객실']	[[75, 93], [105, 120]]	[[50, 59], [38, 45]]	restaurant_hotel_goal_2-63_v2###7740	3	user	[[17, 20], [22, 24]]
53	Womu Boutique Hotel would be a good choice.	워무 부티크 호텔이 좋을 것 같습니다.	['Womu Boutique Hotel']	['워무 부티크 호텔']	[[0, 19]]	[[0, 9]]	restaurant_hotel_goal_2-63_v2###7740	3	system	[[0, 3]]
54	Ok, how about its rating? My friend prefers high-rated hotels.	네, 그곳의 평점이 어떻게 되나요? 제 친구가 평점이 높은 호텔을 선호해서요.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	4	user	[]
55	It does have a high rating of 4.7. Your friend will be pleased about it.	4.7점으로 높은 평점을 가지고 있습니다. 친구분이 만족하실 거예요.	['4.7.']	['4.7점']	[[30, 34]]	[[0, 4]]	restaurant_hotel_goal_2-63_v2###7740	4	system	[[7, 8]]
56	Indeed, he will love it. By the way, does it have a parking lot?	그렇네요, 좋아할거에요. 그런데, 호텔에 주차장이 있나요?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	5	user	[]
57	Yes, it has a free parking lot.	네, 무료 주차장이 있습니다.	['free']	['무료']	[[14, 18]]	[[3, 5]]	restaurant_hotel_goal_2-63_v2###7740	5	system	[[4, 5]]
58	Perfect, thank you for your warm advice.	완벽해요, 따뜻한 조언에 감사드립니다.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	6	user	[]
59	Sure, any other questions?	물론이죠, 다른 질문 사항이 있으신가요?	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	6	system	[]
60	No, thank you again, bye.	아니요, 다시 한 번 감사드립니다. 안녕히 계세요.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	7	user	[]
61	Ok, bye.	네, 안녕히 가세요.	[]	[]	[]	[]	restaurant_hotel_goal_2-63_v2###7740	7	system	[]
62	We will take a trip to Suzhou as the first destination of our graduation trip. Could you recommend some hotels in Suzhou New District?	저희는 졸업 여행의 첫 목적지로 쑤저우에 여행을 갈 것입니다. 쑤저우 신구에 있는 호텔을 추천해 주실 수 있나요?	['Suzhou', 'Suzhou New District?', 'Suzhou']	['쑤저우', '쑤저우 신구', '쑤저우']	[[23, 29], [114, 134], [114, 120]]	[[18, 21], [35, 41], [35, 38]]	attraction_restaurant_hotel_goal_3-46###6201	0	user	[[6, 7], [21, 24], [6, 7]]
63	New City Grand Rezen Hotel may be a good choice.	뉴 시티 그랜드 리젠 호텔이 아마 좋은 선택이 될 것입니다.	['New City Grand Rezen Hotel']	['뉴 시티 그랜드 리젠 호텔']	[[0, 26]]	[[0, 14]]	attraction_restaurant_hotel_goal_3-46###6201	0	system	[[0, 5]]
64	I prefer a bit more expensive hotels, thanks.	조금 더 비싼 호텔이 좋겠는데요, 감사합니다.	['a bit more expensive']	['조금 더 비싼']	[[9, 29]]	[[0, 7]]	attraction_restaurant_hotel_goal_3-46###6201	1	user	[[2, 6]]
65	Then this is the one you want, it is a bit more expensive.	그렇다면 이것이 좋겠네요, 조금 더 비쌉니다.	['a bit more expensive.']	['조금 더 비쌉니다.']	[[37, 58]]	[[15, 25]]	attraction_restaurant_hotel_goal_3-46###6201	1	system	[[9, 13]]
66	How about the price of one room in this hotel?	이 호텔은 방 하나에 가격이 어떻게 되나요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	2	user	[]
67	It is 919 yuan.	919위안입니다.	['919 yuan.']	['919위안']	[[6, 15]]	[[0, 5]]	attraction_restaurant_hotel_goal_3-46###6201	2	system	[[2, 4]]
68	Good, what is the phone number?	좋네요, 전화번호가 어떻게 되나요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	3	user	[]
69	Alright, it is 0512-68182888.	네, 0512-68182888입니다.	['0512-68182888.']	['0512-68182888']	[[15, 29]]	[[3, 16]]	attraction_restaurant_hotel_goal_3-46###6201	3	system	[[3, 4]]
70	Could you recommend some popular landscape scenic spots in this district?	이 구역에 있는 유명한 풍경이 좋은 곳을 추천해주실 수 있나요?	['landscape scenic spots']	['풍경이 좋은 곳']	[[33, 55]]	[[13, 21]]	attraction_restaurant_hotel_goal_3-46###6201	4	user	[[5, 8]]
71	I'd recommend Tianping Mountain Scenic Area.	천평산 풍경구를 추천합니다.	['Tianping Mountain Scenic Area.']	['천평산 풍경구']	[[14, 44]]	[[0, 7]]	attraction_restaurant_hotel_goal_3-46###6201	4	system	[[2, 6]]
72	How about the ticket of this scenic area? How much is it?	이 풍경구의 입장료는요? 얼마인가요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	5	user	[]
73	The ticket is 30 yuan.	입장료는 30위안입니다.	['30 yuan.']	['30위안']	[[14, 22]]	[[5, 9]]	attraction_restaurant_hotel_goal_3-46###6201	5	system	[[3, 5]]
74	Ok, can you tell me its phone number?	알겠습니다, 그곳의 전화번호를 알려주실 수 있으신가요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	6	user	[]
75	It's 0512-66387422.	0512-66387422입니다.	['0512-66387422.']	['0512-66387422']	[[5, 19]]	[[0, 13]]	attraction_restaurant_hotel_goal_3-46###6201	6	system	[[1, 2]]
76	Could you perhaps help me find a nice hot pot restaurant around here?	혹시 여기 근처 괜찮은 훠궈 식당을 알려주실 수 있으신가요?	['hot pot']	['훠궈']	[[38, 45]]	[[13, 15]]	attraction_restaurant_hotel_goal_3-46###6201	7	user	[[8, 10]]
77	Sichuan Xiang Tian Xia Hot Pot is the one that meets your needs.	쓰촨 씨앙 티안 시아 훠궈가 당신의 요구에 맞을 것입니다.	['Sichuan Xiang Tian Xia Hot Pot', 'Hot Pot']	['쓰촨 씨앙 티안 시아 훠궈', '훠궈']	[[0, 30], [23, 30]]	[[0, 14], [12, 14]]	attraction_restaurant_hotel_goal_3-46###6201	7	system	[[0, 6], [4, 6]]
78	Thank you for your help, bye!	도와주셔서 감사합니다. 안녕히 계세요!	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	8	user	[]
79	My pleasure, goodbye.	천만에요, 안녕히 가세요.	[]	[]	[]	[]	attraction_restaurant_hotel_goal_3-46###6201	8	system	[]
80	Hi, my child doesn't feel well and I want to take her to a pediatric clinic. Which general hospital has a good pediatric clinic?	안녕하세요, 저희 아이가 몸이 안좋아서 소아과에 데려가려고 합니다. 어느 종합병원에 좋은 소아과가 있나요?	['pediatric clinic.', 'general hospital', 'pediatric clinic?']	['소아과', '종합병원', '소아과']	[[59, 76], [83, 99], [111, 128]]	[[22, 25], [41, 45], [50, 53]]	Hospital_goal_4-49###4239	0	user	[[14, 16], [17, 19], [22, 24]]
81	Hello, you can go to Suzhou Kowloon Hospital for a good pediatric clinic.	안녕하세요, 좋은 소아과를 찾으시면 쑤저우 구룡병원에 가실 수 있습니다.	['Suzhou Kowloon Hospital', 'pediatric clinic.']	['쑤저우 구룡병원', '소아과']	[[21, 44], [56, 73]]	[[20, 28], [10, 13]]	Hospital_goal_4-49###4239	0	system	[[5, 8], [11, 13]]
82	What's the phone number of this hospital? I need to call in advance for inquiries.	이 병원의 전화번호가 무엇인가요? 문의사항이 있어서 미리 전화를 해야합니다.	[]	[]	[]	[]	Hospital_goal_4-49###4239	1	user	[]
83	The phone number of this hospital is 62629999.	이 병원의 전화번호는 62629999입니다.	['62629999.']	['62629999']	[[37, 46]]	[[12, 20]]	Hospital_goal_4-49###4239	1	system	[[7, 8]]
84	How about the address?	주소는요?	[]	[]	[]	[]	Hospital_goal_4-49###4239	2	user	[]
85	It is at No. 118, Wansheng Street.	완셩가 118호에 있습니다.	['No. 118, Wansheng Street.']	['완셩가 118호']	[[9, 34]]	[[0, 8]]	Hospital_goal_4-49###4239	2	system	[[3, 7]]
86	By the way, does it have a CT scan?	그런데, CT 스캐너가 있나요?	[]	[]	[]	[]	Hospital_goal_4-49###4239	3	user	[]
87	Yes, it has a CT scan.	네, CT 스캐너가 있습니다.	['Yes,']	['네,']	[[0, 4]]	[[0, 2]]	Hospital_goal_4-49###4239	3	system	[[0, 1]]
88	If I go there by bus, which bus should I take?	버스로 가려면 어느 버스를 타야 하나요?	[]	[]	[]	[]	Hospital_goal_4-49###4239	4	user	[]
89	You can take bus No. 2, No. 47, No. 106, No. 206, No. 215, No. 258, No. 6, No. 108, No. 110, No. 116, or No. 166 bus.	2번, 47번, 106번, 206번, 215번, 258번, 6번, 108번, 110번, 116번 또는 166번 버스를 타실 수 있습니다.	['No. 2, No. 47, No. 106, No. 206, No. 215, No. 258, No. 6, No. 108, No. 110, No. 116, or No. 166']	['2번, 47번, 106번, 206번, 215번, 258번, 6번, 108번, 110번, 116번 또는 166번']	[[17, 112]]	[[0, 61]]	Hospital_goal_4-49###4239	4	system	[[4, 27]]
90	Got it, thank you so much. Bye.	알겠습니다, 정말 감사합니다. 안녕히 계세요.	[]	[]	[]	[]	Hospital_goal_4-49###4239	5	user	[]
91	My pleasure, goodbye.	천만에요, 안녕히 가세요.	[]	[]	[]	[]	Hospital_goal_4-49###4239	5	system	[]
92	Hi, I just arrived in Suzhou for my trip. Can you help me find a 4-star hotel in Changshu?	안녕하세요, 저는 방금 쑤저우에 도착한 여행객입니다. 창수에 있는 4성급 호텔을 찾을 수 있게 도와주실 수 있나요?	['Suzhou', '4-star', 'Changshu?']	['쑤저우', '4성급', '창수']	[[22, 28], [65, 71], [81, 90]]	[[13, 16], [37, 40], [30, 32]]	attraction_restaurant_hotel_goal_4-66_v2###2033	0	user	[[5, 6], [15, 16], [18, 19]]
93	In Changshu, Atour Hotel in Changjiang Road is suitable for you.	창수에서는 창장로에 있는 에이투어 호텔이 적합합니다.	['Changshu,', 'Atour Hotel in Changjiang Road']	['창수', '창장로에 있는 에이투어 호텔']	[[3, 12], [13, 43]]	[[0, 2], [6, 21]]	attraction_restaurant_hotel_goal_4-66_v2###2033	0	system	[[1, 2], [2, 7]]
94	How much is a king-size room?	킹사이즈 객실은 얼마인가요?	['king-size room?']	['킹사이즈 객실']	[[14, 29]]	[[0, 7]]	attraction_restaurant_hotel_goal_4-66_v2###2033	1	user	[[4, 6]]
95	It is 312 yuan.	312위안입니다.	['312 yuan.']	['312위안']	[[6, 15]]	[[0, 5]]	attraction_restaurant_hotel_goal_4-66_v2###2033	1	system	[[2, 4]]
96	I know that Mudu Town is quite famous in Suzhou. Can you tell me its opening hours?	쑤저우에서 무두 마을이 유명하다고 알고 있는데요. 운영 시간을 알려주실 수 있나요?	['Mudu Town', 'Suzhou.']	['무두 마을', '쑤저우']	[[12, 21], [41, 48]]	[[6, 11], [0, 3]]	attraction_restaurant_hotel_goal_4-66_v2###2033	2	user	[[3, 5], [9, 10]]
97	It is usually open 08:30-17:00.	보통 오전 8시 반부터 저녁 5시까지 운영합니다.	['08:30-17:00.']	['오전 8시 반부터 저녁 5시까지']	[[19, 31]]	[[3, 20]]	attraction_restaurant_hotel_goal_4-66_v2###2033	2	system	[[4, 5]]
98	How much is the ticket? Is it free?	입장료는 얼마인가요? 무료인가요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	3	user	[]
99	Yes, it is free.	네, 무료입니다.	['free.']	['무료']	[[11, 16]]	[[3, 5]]	attraction_restaurant_hotel_goal_4-66_v2###2033	3	system	[[3, 4]]
100	I also want to try some good food. I heard Laotianqiao Frog Hot Pot is nice, so does it have a high rating?	저는 좋은 음식도 먹어보고 싶습니다. 라오티안치아오 개구리 훠궈가 좋다고 들었는데, 평점이 높은가요?	['Laotianqiao Frog Hot Pot']	['라오티안치아오 개구리 훠궈']	[[43, 67]]	[[21, 35]]	attraction_restaurant_hotel_goal_4-66_v2###2033	4	user	[[10, 14]]
101	Its rating is 4.6.	그곳의 평점은 4.6점입니다.	['4.6.']	['4.6점']	[[14, 18]]	[[8, 12]]	attraction_restaurant_hotel_goal_4-66_v2###2033	4	system	[[3, 4]]
102	Any recommendations for what to order at this restaurant?	이 식당에서 무엇을 주문해야 할지 추천할만한 것이 있나요?	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	5	user	[]
103	Of course, you need to try their bullfrogs.	당연하죠, 황소개구리를 드셔보셔야 해요.	['bullfrogs.']	['황소개구리']	[[33, 43]]	[[6, 11]]	attraction_restaurant_hotel_goal_4-66_v2###2033	5	system	[[7, 8]]
104	Thank you, bye.	감사합니다, 안녕히 계세요.	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	6	user	[]
105	My pleasure, goodbye.	천만에요, 안녕히 가세요.	[]	[]	[]	[]	attraction_restaurant_hotel_goal_4-66_v2###2033	6	system	[]
106	I will come to Xiamen next week for work but am still not sure which day I will set out, it depends on the weather. Could you help me check the wind force and direction for next Sunday?	저는 다음 주에 일 때문에 샤먼에 갈 예정인데, 언제 출발할지 아직 확실하지 않고, 날씨에 달려있어요. 다음 주 일요일 풍력과 풍향 확인을 도와주실 수 있나요?	['Xiamen', 'next Sunday?']	['샤먼', '다음 주 일요일']	[[15, 21], [173, 185]]	[[15, 17], [58, 66]]	weather_goal_3-49_v2###10759	0	user	[[4, 5], [36, 38]]
107	Ok, it will be northeast force 2 next Sunday in Xiamen.	네, 다음 주 일요일 샤먼에는 강도 2의 북동풍이 있을거에요.	['next Sunday in Xiamen.', 'next Sunday', 'Xiamen.']	['다음 주 일요일 샤먼', '다음 주 일요일', '샤먼']	[[33, 55], [33, 44], [48, 55]]	[[3, 14], [3, 11], [12, 14]]	weather_goal_3-49_v2###10759	0	system	[[7, 11], [7, 9], [10, 11]]
108	Well, it seems that the wind will not be that strong. How about the weather in Xiamen that day?	음, 바람이 크게 강하지는 않을 것 같네요. 그날 샤먼의 날씨는 어떤가요?	['Xiamen']	['샤먼']	[[79, 85]]	[[28, 30]]	weather_goal_3-49_v2###10759	1	user	[[16, 17]]
109	It will be sunny.	맑을 예정이에요.	['sunny.']	['맑을']	[[11, 17]]	[[0, 2]]	weather_goal_3-49_v2###10759	1	system	[[3, 4]]
