,domain,slot,source_value
214,hospital,registration time,"7:45-11:00,13:00-16:30"
215,hospital,registration time,7:30-17:30
216,hospital,registration time,"7:30-12:00,13:00-17:30"
217,hospital,service time,"7:45-11:00, 13:00-16:00"
218,hospital,service time,"8:00-12:00, 13:00-17:00"
219,hospital,service time,"7:45-11:00, 13:00-17:00"
220,hospital,service time,8:00-17:00
221,hospital,service time,"8:00-12:00,13:30-16:45"
222,hospital,service time,"8:00-11:30,13:00-16:30"
223,hospital,service time,"7:45-11:30, 13:30-17:00"
224,hospital,service time,"7:45-11:00,13:00-16:30"
225,hospital,service time,7:45-17:45
226,hospital,service time,"8:00-12:00,13:30-17:30"
227,hotel,address,"No. 338, Tayuan Road, Suzhou High-tech Zone"
228,hotel,address,"No. 1, Fugui Jingyuan, Kunshan"
229,hotel,address,"No. 6, Kaiyuan Avenue, Changshu"
230,hotel,address,"No. 8, Jingang Road, Bixi Town, Changshu"
231,hotel,name,Suzhou Jinji Lake Shilla Hotel
232,hotel,score,5.0
233,movie,director,Liu Lili
234,movie,director,Chu Yin-ping
235,movie,director,Lingo Hsieh
236,movie,director,Wang Chu-chin
237,movie,director,Kaige Chen
238,movie,director,Chan Hing-ka
239,movie,director,Law Chi-leung
240,movie,director,Andrew Lau
241,movie,director,Ricky Lau
242,movie,director,Sung Tsu-shou
243,movie,director,Gordon Chan
244,movie,director,Luo Wei
245,movie,director,Jeffrey Lau
246,movie,director,Yip Wai-man
247,movie,director,Derek Tsang
248,movie,director,Ang Lee
249,movie,director,Ning Hao
250,movie,director,Tsui Hark
251,movie,director,Yip Wai-shun
252,movie,director,Chang Hsin-yen
253,movie,director,Rob Reiner
254,movie,director,Quentin Jerome Tarantino
255,movie,director,Brian De Palma
256,movie,director,Christopher Nolan
257,movie,director,David Fincher
258,movie,director,Tony Scott
259,movie,director,John G. Avildsen
260,movie,director,Karan Johar
261,movie,director,Sanjay Leela Bhansali
262,movie,director,S. Shankar
263,movie,director,Jo Sung-hee
264,movie,director,Yeon Sang-ho
265,movie,director,Park Chan-wook
266,movie,name list,Jay Chou/Gwei Lun-mei/Anthony Wong/Su Ming-ming
267,movie,name list,Leslie Cheung/Brigitte Lin/Tony Leung/Jacky Cheung
268,movie,name list,Brigitte Lin/Alan Chin/Ma Yonglin
269,movie,name list,Jay Chou/Chen Bolin/River Chen/Charlene Choi
270,movie,name list,Jacky Wu/Yvonne Yung/Nicky Wu/Steven Hao
271,movie,name list,Yan Ching-kuo/Joh Haau-foo/Chen Chung-Jung/Chen Wai-lau
272,movie,name list,Chen Chen/Patrick Tse/Hu Jin
273,movie,name list,Wu Kang-Ren/Hsieh Hsin-Ying/Tanaka Chie/Yen Cheng-Lan
274,movie,name list,Lam Ching-ying/Wu Ma/Collin Chou/Chen Chia-chun
275,movie,name list,Terry Hu/Paco Guan/Han Chiang
276,movie,name list,Chin Meng/Yueh Yang/Jin Lingzi/Gao Xingzhi
277,movie,name list,Mark Chao/Ethan Juan/Rhydian Vaughan/Huang Teng-hui
278,movie,name list,Yo Yang/Tien Hsin/King Chin/Abe Tsuyoshi
279,movie,name list,Jackie Chan/Andy Lau/Sammo Hung/Leung Ka-fai
280,movie,name list,Tommy Tam/David Chiang/Bryan Leung/Jimmy Wang
281,movie,name list,Miriam Yeung/Shawn Yue/Kenny Wong/Chan Yat-ling
282,movie,name list,Tony Leung/Maggie Cheung/Rebecca Pan/Siu Ping-lam
283,movie,name list,Leslie Cheung/Zhang Fengyi/Gong Li/Ge You
284,movie,name list,Brigitte Lin/Sylvia Chang/Deborah Lee/Michelle Yim
285,movie,name list,Chapman To/Wong Cho-lam/Fiona Sit/Kama Luo
286,movie,name list,Stephen Chow/Yuen Qiu/Yuan Wah/Huang Shengyi
287,movie,name list,Stephen Chow/Cecilia Cheung/Karen Mok/Ng Man-tat
288,movie,name list,Chow Yun-fat/Andy Lau/Joey Wong/Sharla Cheung
289,movie,name list,Bruce Lee/Nora Miao/Chuck Norris
290,movie,name list,Chin Siu-ho/Wai Ying-hung/Paw Hee-ching/Anthony Chan
291,movie,name list,Leslie Cheung/Karena Lam/Waise Lee/Valerie Chow
292,movie,name list,Lam Ching-ying/Chin Siu-ho/Carrie Ng/Lau Shun
293,movie,name list,Wu Ma/Chin Ka-lok/Loretta Lee/Anthony Chan
294,movie,name list,Brigitte Lin/Shih Chun/Tou Chunghua/Gu Wenzong
295,movie,name list,Donnie Yen/Andy Lau/Philip Patrick Keung Ho-men/Kent Cheng
296,movie,name list,Stephen Chow/Vicki Zhao/Ng Man-tat/Patrick Tse
297,movie,name list,Chow Yun-fat/Tommy Tam/Leslie Cheung/Emily Chu
298,movie,name list,Bruce Lee/Nora Miao/Tian Jun/Tian Feng
299,movie,name list,Daniel Wu/Yao Chen/Simon Yam/Leon Dai
300,movie,name list,Ekin Cheng/Cecilia Cheung/Jonathan Ke Quan/Annamarie Wood
301,movie,name list,Stephen Chow/Ng Man-tat/Gigi Leung/Alien Sun
302,movie,name list,Tony Leung/Tang Wei/Joan Chen/Wang Leehom
303,movie,name list,Jiang Wen/Gong Li/Teng Rujun/Qian Ming
304,movie,name list,Xu Zheng/Wang Chuanjun/Zhou Yiwei/Tan Zhuo
305,movie,name list,Ge You/Liu Bei/He Bing/Feng Xiaogang
306,movie,name list,Zhang Guoli/Ge You/Liang Tian/Pan Hong
307,movie,name list,Francis Ng/Ruby Lin/Yo Yang/Amanda Qin
308,movie,name list,Wu Jing/Frank Grillo/Wu Gang/Hans Zhang
309,movie,name list,Huang Bo/Shen Teng/Tom Pelphrey/Xu Zheng
310,movie,name list,Jack Nicholson/Morgan Freeman/Sean Hayes
311,movie,name list,John Travolta/Uma Thurman/Amanda Plummer
312,movie,name list,Michael J. Fox/Christopher Lloyd/Lea Thompson
313,movie,name list,Ted Elliott/Terry Rossio/Stuart Beattie
314,movie,name list,Tom Cruise/Jon Voight/Jean Reno/Emmanuelle Beart
315,movie,name list,Sam Worthington/Zoe Saldana/Sigourney Weaver
316,movie,name list,Jim Carrey/Laura Linney/Ed Harris
317,movie,name list,Harrison Ford/Rutger Hauer/Sean Young
318,movie,name list,Madeline Carroll/Callan McAuliffe/Rebecca De Mornay
319,movie,name list,Cate Blanchett/Brad Pitt/Julia Ormond
320,movie,name list,Tom Cruise/Kelly McGillis/Val Kilmer
321,movie,name list,Sylvester Stallone/Talia Shire/Burt Young
322,movie,name list,Vera Farmiga/Patrick Wilson/Lili Taylor
323,movie,name list,Jack Nicholson/Shelley Duvall/Danny Lloyd
324,movie,name list,Aamir Khan/Anushka Sharma/Sanjay Dutt
325,movie,name list,Aamir Khan/Kareena Kapoor/R.Madhavan
326,movie,name list,Shahrukh Khan/Madhuri Dixit/Amrish Puri
327,movie,name list,Anil Kapoor/Sridevi/Amrish Puri
328,movie,name list,Aamir Khan/Tinnu Anand/Asin
329,movie,name list,Shahrukh Khan/Juhi Chawla/Sonali Bendre
330,movie,name list,Shatrughan Sinha/Rakesh Roshan/Kabir Bedi
331,movie,name list,Shahrukh Khan/Kajol Devgan/Shane Harper
332,movie,name list,Prakash Kapadia/Sanjay Leela Bhansali/Saratchandra Chatterjee
333,movie,name list,Aishwarya Rai/Rajinikanth/Danny Denzongpa
334,movie,name list,Song Joong-ki/Park Bo-young/Yoo Yeon-seok/Jang Young-nam
335,movie,name list,Gong Yoo/Jung Yu-mi/Ma Tong-seok/Kim Soo-an
336,movie,name list,Choi Min-sik/Kang Hye-jung/Yoo Ji-tae/Ji Dae-han
337,movie,release date,"2011-08-19 in Taiwan, China / 2012-01-06 in the Chinese mainland"
338,movie,release date,"2007-07-27 in Taiwan, China / 2007-07-31 in the Chinese mainland"
339,movie,release date,"1980-03-29 in Taiwan, China"
340,movie,release date,"1979-01-28 in Taiwan, China"
341,movie,release date,"2013-07-11 in the Chinese mainland / Taiwan, China"
342,movie,release date,"2008-02-07 in Hong Kong, China / Taiwan, China"
343,movie,release date,"1996-12-28 in Taiwan, China"
344,movie,release date,"1986-03-28 in Taiwan, China"
345,movie,release date,"1971-06-05 in Hong Kong, China"
346,movie,release date,"2015-08-20 in Taiwan, China"
347,movie,release date,"2002-10-25 in Taiwan, China"
348,movie,release date,"1993 in Taiwan, China"
349,movie,release date,"1980-01-09 in Taiwan, China"
350,movie,release date,"1974-09-12 in Taiwan, China"
351,movie,release date,"2012-08-17 in Taiwan, China / 2013-03-14 in the Chinese mainland"
352,movie,release date,"2006-09-29 in Taiwan, China"
353,movie,release date,"2010-2-5 in Taiwan, China"
354,movie,release date,"2006/3/24 in Taiwan, China"
355,movie,release date,"1991-08-01 in Taiwan, China"
356,movie,release date,"1984-03-02 in Taiwan, China"
357,movie,release date,"1970-10-09 in Taiwan, China"
358,movie,release date,"2010-03-25 in Hong Kong, China / 2010-06-18 in the Chinese mainland"
359,movie,release date,"2000-09-29 in Hong Kong, China"
360,movie,release date,"1993-01-01 in Hong Kong, China / 1993-07-26 in the Chinese mainland"
361,movie,release date,"1987-07-18 in Hong Kong, China / 2011-04-30 in the Chinese mainland"
362,movie,release date,"1977-10-26 in Hong Kong, China"
363,movie,release date,"2010-7-8 in Hong Kong, China"
364,movie,release date,"2004-12-23 in the Chinese mainland / Hong Kong, China"
365,movie,release date,"1999-02-13 in Hong Kong, China"
366,movie,release date,"1989-12-14 in Hong Kong, China"
367,movie,release date,"1972-12-30 in Hong Kong, China"
368,movie,release date,"2013-10-24 in Hong Kong, China"
369,movie,release date,"2002-03-28 in Hong Kong, China / 2005-03-25 in the Chinese mainland"
370,movie,release date,"1991-01-01 in Hong Kong, China"
371,movie,release date,"1988-12-22 in Hong Kong, China"
372,movie,release date,"1974-10-05 in Hong Kong, China"
373,movie,release date,2017-09-30 in the Chinese mainland
374,movie,release date,"2001-07-12 in Hong Kong, China"
375,movie,release date,"1992-12-17 in Hong Kong, China"
376,movie,release date,"1986-08-02 in Hong Kong, China / 2017-11-17 in the Chinese mainland"
377,movie,release date,"1972-03-22 in Hong Kong, China"
378,movie,release date,"2002-01-11 in Hong Kong, China"
379,movie,release date,"1995-08-19 in Hong Kong, China"
380,movie,release date,2007-11-01 in the Chinese mainland
381,movie,release date,1988-10-10 in the Chinese mainland
382,movie,release date,"2006-06-30 in the Chinese mainland / 2006-08-10 in Hong Kong, China"
383,movie,release date,1997-12-24 in the Chinese mainland
384,movie,release date,1988 in the Chinese mainland
385,movie,release date,2014-07-18 in the Chinese mainland
386,movie,release date,2008-06-12 in the Chinese mainland
387,movie,release date,2017-07-27 in the Chinese mainland
388,movie,release date,"2008-12-12 in the Chinese mainland / 2008-12-19 in Hong Kong, China"
389,movie,release date,"1993-02-11 in Hong Kong, China"
390,movie,release date,1982-02-01 in the Chinese mainland
391,movie,release date,2019-02-05 in the Chinese mainland
392,movie,release date,2008-01-30 in the Chinese mainland
393,movie,release date,2008-01-11 in America
394,movie,release date,1994-10-14 in America
395,movie,release date,1985-07-03 in America
396,movie,release date,2019-04-24 in the Chinese mainland / 2019-04-26 in America
397,movie,release date,2003-11-21 in the Chinese mainland / 2003-07-09 in America
398,movie,release date,1996-05-22 in America
399,movie,release date,1992-06 in the Chinese mainland / 1984-10-26 in America
400,movie,release date,2010-09-01 in the Chinese mainland / 2010-07-16 in America
401,movie,release date,2010-01-04 in the Chinese mainland / 2009-12-18 in America
402,movie,release date,1998-06-05 in America
403,movie,release date,1982-06-25 in America
404,movie,release date,1977-05-25 in America
405,movie,release date,2010-07-26 premiered in Hollywood / 2010-09-10 in America
406,movie,release date,2008-12-25 in America
407,movie,release date,1998-04-03 in the Chinese mainland / 1997-12-19 in America
408,movie,release date,1986-05-16 in America
409,movie,release date,1976-12-03 in America
410,movie,release date,2013-07-19 in America
411,movie,release date,2004-10-29 in America
412,movie,release date,1996-12-20 in America
413,movie,release date,1980-05-23 in America
414,movie,release date,1979-05-25 in America
415,movie,release date,2015-05-22 in the Chinese mainland / 2014-12-19 in India
416,movie,release date,2011-12-08 in the Chinese mainland / 2009-12-25 in India
417,movie,release date,1987-05-25 in India
418,movie,release date,2018-03-02 in the Chinese mainland / 2015-07-17 in India
419,movie,release date,2008-12-25 in India
420,movie,release date,1988-08-12 in India
421,movie,release date,2010-11-30 in the Chinese mainland / 2010-02-12 in India
422,movie,release date,2002-07-11 in India
423,movie,release date,2010-10-01 in America
424,movie,release date,2006-06-23 in India
425,movie,release date,2013-12-19 in the Chinese mainland / 2012-10-31 in South Korea
426,movie,release date,2001-07-27 in South Korea
427,movie,release date,2016-07-20 in South Korea
428,movie,release date,2003-11-21 in South Korea
429,movie,star,Jacky Wu
430,movie,star,Cho Hung-shun
431,movie,star,Terry Hu
432,movie,star,Jackie Chan
433,movie,star,Chapman To
434,movie,star,Ekin Cheng
435,movie,star,Zhang Guoli
436,movie,star,Francis Ng
437,movie,star,Tom Cruise
438,movie,star,Sylvester Stallone
439,movie,star,Anil Kapoor
440,movie,star,Aishwarya Rai
441,movie,star,Song Joong-ki
442,movie,title,The Marigolds
443,movie,title,A Love Seed
444,movie,title,Naughty Boys & Soldiers
445,movie,title,Legends of Cheating
446,movie,title,Island Of Fire
447,movie,title,In the Mood for Love
448,movie,title,Ghost of the Mirror
449,movie,title,Lust Caution
450,movie,title,Mission: Impossible
451,movie,title,Top Gun
452,movie,title,Rocky
453,movie,title,P.K.（Peekay)
454,movie,title,A Werewolf Boy
455,movie,type,sci-fi
456,pc,colour,mainly blue
457,pc,colour,mainly white
458,pc,computer type,All-in-One PC
459,pc,cpu model,Intel Core i5-8265U
460,pc,cpu model,Intel Core i5-8250U
461,pc,cpu model,Intel Core i5-9300H
462,pc,cpu model,Intel Core i7-10710u
463,pc,cpu model,Intel Core i7-9750H
464,pc,cpu model,Intel Core i5-9400F
465,pc,cpu model,Intel Core i7-8700
466,pc,cpu model,Intel Core i9-9900
467,pc,cpu model,Intel Core i3-9100
468,pc,cpu model,Intel Core i9-9980HK
469,pc,cpu model,Intel Core i7-10510u
470,pc,cpu model,Intel Core i5-9400
471,pc,cpu model,Intel Core i5-10210U
472,pc,cpu model,Intel Core i5-9500
473,pc,cpu model,Intel Core i9-9900K
474,pc,cpu model,Intel Core i7-9700K
475,pc,cpu model,Intel Core i5-7400
476,pc,cpu model,Inter Core i5
477,pc,cpu model,Inter Core i9
478,pc,cpu model,Intel Core i7-10510U
479,pc,features,"a backlit keyboard, fingerprint recognition, PCIe SSD, quick charge, and Type-c port"
480,pc,features,"touchscreen, backlit keyboard, PCIE SSD"
481,pc,features,quick charge
482,pc,features,"fingerprint recognition, quick charge functions, and an overall thickness of less than 20mm"
483,pc,features,"Fingerprint recognition, PCIe SSD, and battery with long service life."
484,pc,features,"water cooling, HyperX Fury memory"
485,pc,features,"bezel-less screen, double hard drives, double memory slots"
486,pc,features,"a backlit keyboard, fingerprint recognition"
487,pc,features,fingerprint recognition
488,pc,features,"quick charge functions, and an overall thickness of less than 20mm"
489,pc,game performance,enthusiast
490,pc,gpu category,Intel HD Graphics
491,pc,gpu model,R530
492,pc,gpu model,AMD Radeon R7 430 2G
493,pc,gpu model,RTX2080Ti
494,pc,gpu model,RTX2080
495,pc,gpu model,MX110
496,pc,pricerange,"<5,000"
497,pc,pricerange,">20,000"
498,pc,pricerange,"10,000-15,000"
499,pc,pricerange,"15,000-20,000"
500,pc,product name,Dell XPS15-7590
501,pc,product name,Dell Flame 5000 Vostro 5590
502,pc,product name,HP Omen 5
503,pc,product name,HP Envy 13
504,pc,product name,HP 875-188rcn
505,pc,product name,Acer Mighty Knight A725
506,pc,product name,Acer Concept-D
507,pc,product name,Acer Predator PO9-600
508,pc,product name,Acer Veriton SQX4270 666A
509,pc,product name,Acer Veriton B430
510,pc,product name,MacBook Pro 13.3 of Apple 2019
511,pc,product name,MacBook Pro 16 of Apple 2019
512,pc,product name,iMac 21.5 of Apple 2019
513,pc,product name,iMac 27 of Apple 2019
514,pc,product name,Xiaomi Gaming Laptop
515,pc,product name,RedmiBook 14 Pro
516,pc,series,Lenovo Xiaoxin Chao 7000 Series
517,pc,series,Lenovo Legion Series
518,pc,series,Lenovo YOGA
519,pc,series,Lenovo Yangtian Series
520,pc,series,Lenovo Y series
521,pc,series,Lenovo GeekPro Series
522,pc,series,Dell XPS Series
523,pc,series,Dell Flame 7000 Series
524,pc,series,Dell Vostro Series
525,pc,series,Dell OptiPlex
526,pc,series,HP Omen Series
527,pc,series,HP Star
528,pc,series,HP Envy Series
529,pc,series,HP Zhan Series
530,pc,series,HP Slimline
531,pc,series,Acer Aspire Series
532,pc,series,Acer Extensa Series
533,pc,series,Acer Yiwu Series
534,pc,series,Acer Xuan 6 Series
535,pc,series,Acer Concept-D Series
536,pc,series,Acer Veriton Series
537,pc,series,Acer Shadow Knight Series
538,pc,series,Acer Predator Series
539,pc,series,Acer Veriton B Series
540,pc,series,MacBook Pro Series
541,pc,series,Apple iMac Series
542,pc,series,Xiaomi Laptop Series
