,domain,slot,source_value
110,weather,tamperature,"The maximum temperature will be 15 degrees Celsius, and the minimum temperature will be 8 degrees Celsius."
111,weather,tamperature,"The maximum temperature will be 16 degrees Celsius, and the minimum temperature will be 9 degrees Celsius."
112,weather,tamperature,"The maximum temperature will be 18 degrees Celsius, and the minimum temperature will be 5 degrees Celsius."
113,weather,tamperature,"The maximum temperature will be 17 degrees Celsius, and the minimum temperature will be 7 degrees Celsius."
114,weather,tamperature,"The maximum temperature will be 20 degrees Celsius, and the minimum temperature will be 14 degrees Celsius."
115,weather,tamperature,"The maximum temperature will be 23 degrees Celsius, and the minimum temperature will be 16 degrees Celsius."
116,weather,tamperature,"The maximum temperature will be 22 degrees Celsius, and the minimum temperature will be 16 degrees Celsius."
117,weather,tamperature,"The maximum temperature will be 11 degrees Celsius, and the minimum temperature will be 0 degrees Celsius."
118,weather,tamperature,"The maximum temperature will be 16 degrees Celsius, and the minimum temperature will be 5 degrees Celsius."
119,weather,tamperature,"The maximum temperature will be 18 degrees Celsius, and the minimum temperature will be 7 degrees Celsius."
120,weather,tamperature,"The maximum temperature will be 21 degrees Celsius, and the minimum temperature will be 13 degrees Celsius."
121,weather,tamperature,The maximum temperature will be 11 degrees Celsius and the minimum temperature will be 4 degrees Celsius.
122,weather,tamperature,"The maximum temperature will be 13 degrees Celsius, and the minimum temperature will be 4 degrees Celsius."
123,weather,tamperature,"The maximum temperature will be 11 degrees Celsius, and the minimum temperature will be 7 degrees Celsius."
124,weather,tamperature,"The maximum temperature will be 15 degrees Celsius, and the minimum temperature will be 7 degrees Celsius."
125,weather,tamperature,"The maximum temperature will be 15 degrees Celsius, and the minimum temperature will be 1 degree Celsius."
126,weather,tamperature,"The maximum temperature will be 19 degrees Celsius, and the minimum temperature will be 8 degrees Celsius."
127,weather,tamperature,"The maximum temperature will be 9 degrees Celsius, and the minimum temperature will be -1 degree Celsius."
128,weather,wind,southwest force 3-4.
